Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
150,AdriÃ¡n Luna,uy URU,"MF,FW",Kerala Blasters,30,1992,19,1705,90,94.7,18.9,19,90,14,0,,0,1.55,27,26,1,0.05,1,Matches
151,Damaitphang Lyngdoh,in IND,MF,Bengaluru,18,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
152,Debjit Majumder,in IND,GK,Chennaiyin,34,1988,9,801,89,44.5,8.9,9,89,8,0,,7,1.56,20,19,1,0.11,0.29,Matches
153,Osama Malik,au AUS,DF,Odisha,31,1990,15,1095,73,60.8,12.2,15,73,7,0,,1,1.53,12,19,-7,-0.58,-1.21,Matches
154,Saurav Mandal,in IND,MF,Kerala Blasters,21,2000,13,252,19,14,2.8,2,66,0,11,11,3,1.23,2,3,-1,-0.36,-0.42,Matches
155,Pedro MartÃ­n,es ESP,"FW,MF",Odisha,30,1992,19,821,43,45.6,9.1,8,63,1,11,29,0,1.45,13,8,5,0.55,1.19,Matches
156,Glan Martins,in IND,MF,Goa,28,1994,9,471,52,26.2,5.2,4,67,0,5,41,2,1.78,7,6,1,0.19,0.19,Matches
157,Glan Martins,in IND,MF,Mohun Bagan,28,1994,6,472,79,26.2,5.2,6,79,2,0,,0,1.5,4,2,2,0.38,0.04,Matches
158,Diego MaurÃ­cio,br BRA,FW,Odisha,31,1991,20,1442,72,80.1,16,17,80,11,3,30,0,1.43,26,32,-6,-0.37,-1.38,Matches
159,Jerry Mawihmingthanga,in IND,"FW,MF",Odisha,25,1997,19,1301,68,72.3,14.5,13,83,7,6,38,0,1.45,22,23,-1,-0.07,0.11,Matches
160,Kule Mbombo,cd COD,"FW,MF",NorthEast Utd,26,1996,6,445,74,24.7,4.9,6,74,2,0,,1,0.33,4,15,-11,-2.22,-0.63,Matches
161,Carl McHugh,ie IRL,MF,Mohun Bagan,29,1993,17,1101,65,61.2,12.2,12,84,9,5,18,0,1.62,12,10,2,0.16,-0.48,Matches
162,Ninthoinganba Meetei,in IND,MF,Chennaiyin,21,2001,12,516,43,28.7,5.7,5,74,1,7,21,2,1.33,8,11,-3,-0.52,-0.66,Matches
163,Denechandra Meitei,in IND,DF,Odisha,28,1994,13,507,39,28.2,5.6,4,70,1,9,25,6,1.43,11,11,0,0,0.14,Matches
164,Mirshad Michu,in IND,GK,NorthEast Utd,28,1994,10,900,90,50,10,10,90,10,0,,10,0.4,8,25,-17,-1.7,0.1,Matches
165,Bryce Miranda,in IND,MF,Kerala Blasters,22,1999,12,351,29,19.5,3.9,4,62,0,8,13,6,1.25,4,2,2,0.51,0.64,Matches
166,Dipu Mirdha,in IND,FW,NorthEast Utd,23,1999,0,,,,,0,,0,0,,4,,,,,,,Matches
167,Akash Mishra,in IND,DF,Hyderabad FC,20,2001,17,1530,90,85,17,17,90,17,0,,0,2.11,29,10,19,1.12,0.78,Matches
168,Samik Mitra,in IND,GK,Chennaiyin,21,2000,10,900,90,50,10,10,90,10,0,,2,1.3,16,16,0,0,0.1,Matches
169,Yasir Mohammad,in IND,MF,Hyderabad FC,22,1999,18,1503,84,83.5,16.7,18,84,3,0,,0,2.05,25,12,13,0.78,-1.34,Matches
170,Manoj Mohammed,in IND,DF,Hyderabad FC,23,1999,3,270,90,15,3,3,90,3,0,,17,1.33,7,6,1,0.33,-0.78,Matches
